roll,legal,address,land_area,land_area_unit,subdivision,zoning,linc_number,market_land_site_area,market_land_site_area_unit,year_of_assessment,assessment_value,street_number,route,locality,administrative_area_level_1,administrative_area_level_2,country,postal_code,latitude,longitude
2312000,NE-13-57-24-4,,80.00,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"8,710",,,,,,,,,
2312001,NE-13-57-24-4,57218 RGE RD 240,76.54,Acres,Sturgeon County,AGRICULTURE,,3.00,Acres,2014,"531,980",,Range Road 240,,Alberta,Division No. 11,Canada,,53.77458050000001,-113.4212854
2312002,0325866 1 1 NE-13-57-24-4,57224 RGE RD 240,3.46,Acres,Sturgeon County,AGRICULTURE,0030219968,3.46,Acres,2014,"401,260",,Range Road 240,,Alberta,Division No. 11,Canada,,53.77458050000001,-113.4212854
2313000,SE-14-57-24-4,,160.00,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"29,330",,,,,,,,,
2314000,SW-14-57-24-4,,160.00,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"40,240",,,,,,,,,
2315000,NW-14-57-24-4,57225A RGE RD 242,159.74,Acres,Sturgeon County,AGRICULTURE,0023213804,3.00,Acres,2014,"577,970",,Range Road 242,,Alberta,Division No. 11,Canada,,53.876389,-113.4713611
2315001,8221606,,0.26,Acres,Sturgeon County,AGRICULTURE,,0.26,Acres,2014,"17,160",,,,,,,,,
2316000,NE-14-57-24-4,,156.00,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"25,980",,,,,,,,,
2317000,SE-15-57-24-4,24208 TWP RD 572,40.00,Acres,Sturgeon County,AGRICULTURE,0025085730,3.00,Acres,2014,"416,730",24208,Township Road 572,Busby,Alberta,Division No. 13,Canada,T0G 0H0,53.9200171,-113.8727591
2318000,SE-15-57-24-4,,120.00,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"20,150",,,,,,,,,
2319001,SW-15-57-24-4,,154.68,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"35,300",,,,,,,,,
2320000,NW-15-57-24-4,Z3692 = 50%,159.00,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"39,060",50,West Canada Street,Sturgeon,Missouri,Boone County,United States,65284,39.2300698,-92.28298319999999
2321000,NE-15-57-24-4,"Z4300, Z3690",160.00,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"37,960",,West Canada Street,Sturgeon,Missouri,Boone County,United States,65284,39.2301825,-92.2847343
2322000,1424584 1 1,,5.02,Acres,Sturgeon County,AGRICULTURE,,3.00,Acres,2014,"319,340",,,,,,,,,
2323000,SW-16-57-24-4,,155.97,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"25,660",,,,,,,,,
2323001,9423032 1 SW-16-57-24-4,57207 RGE RD 244,4.03,Acres,Sturgeon County,AGRICULTURE,0026168039,3.00,Acres,2014,"375,180",,Range Road 244,,Alberta,Division No. 11,Canada,T8T 0N4,53.861864,-113.520905
2324000,NW-16-57-24-4,57225 RGE RD 244,160.00,Acres,Sturgeon County,AGRICULTURE,0010547926,3.00,Acres,2014,"577,150",,Range Road 244,,Alberta,Division No. 11,Canada,T8T 0N4,53.861864,-113.520905
2325000,NE-16-57-24-4,,159.00,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"29,950",,,,,,,,,
2326000,SE-17-57-24-4,,160.00,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"31,490",,,,,,,,,
2327000,SW-17-57-24-4,,160.00,Acres,Sturgeon County,URBAN FRINGE,,0.00,Acres,2014,"32,660",,,,,,,,,
2328000,NW-17-57-24-4,,160.00,Acres,Sturgeon County,URBAN FRINGE,,0.00,Acres,2014,"35,680",,,,,,,,,
2329000,NE-17-57-24-4,57228 RGE RD 244,160.00,Acres,Sturgeon County,AGRICULTURE,0013740089,3.00,Acres,2014,"356,490",,Range Road 244,,Alberta,Division No. 11,Canada,T8T 0N4,53.861864,-113.520905
2330000,SE-18-57-24-4,57210 RGE RD 250,160.00,Acres,Sturgeon County,URBAN FRINGE,0023213846,3.00,Acres,2014,"242,960",57210,Range Road 250,Legal,Alberta,Division No. 11,Canada,T0G 1L0,53.8192475,-113.5705688
2331000,SW-18-57-24-4,,153.40,Acres,Sturgeon County,URBAN FRINGE,,0.00,Acres,2014,"30,660",,,,,,,,,
2331001,0121610 1 SW-18-57-24-4,24522 TWP RD 572,6.60,Acres,Sturgeon County,URBAN FRINGE,0028811842,3.00,Acres,2014,"457,120",24522,Township Road 572,Busby,Alberta,Division No. 13,Canada,T0G 0H0,53.9200171,-113.8727591
2332000,9723973 1 NW-18-57-24-4,57227 RGE RD 250,2.94,Acres,Sturgeon County,URBAN FRINGE,0027255315,2.94,Acres,2014,"611,600",57227,Range Road 250,Legal,Alberta,Division No. 11,Canada,T0G 1L0,53.8114843,-113.5705821
2332001,9723973 2,,154.59,Acres,Sturgeon County,URBAN FRINGE,,0.00,Acres,2014,"54,640",,,,,,,,,
2333000,NE-18-57-24-4,,151.79,Acres,Sturgeon County,URBAN FRINGE,,0.00,Acres,2014,"34,260",,,,,,,,,
2333001,NE-18-57-24-4,57224 RGE RD 245,8.21,Acres,Sturgeon County,URBAN FRINGE,0019357409,3.00,Acres,2014,"224,390",57224,Range Road 245,Legal,Alberta,Division No. 11,Canada,T0G 1L0,53.77911599999999,-113.5458967
2334000,SE-19-57-24-4,Z3690 Z4300,160.00,Acres,Sturgeon County,URBAN FRINGE,,0.00,Acres,2014,"39,850",,West Canada Street,Sturgeon,Missouri,Boone County,United States,65284,39.2301825,-92.2847343
2335000,SW-19-57-24-4,,156.49,Acres,Sturgeon County,URBAN FRINGE,,0.00,Acres,2014,"36,410",,,,,,,,,
2335001,8020806 A SW-19-57-24-4,57309 RGE RD 250,3.51,Acres,Sturgeon County,URBAN FRINGE,0012342333,3.00,Acres,2014,"207,930",57309,Range Road 250,Legal,Alberta,Division No. 11,Canada,T0G 1L0,53.8114843,-113.5705821
2336000,NW-19-57-24-4,,157.68,Acres,Sturgeon County,URBAN FRINGE,,0.00,Acres,2014,"39,560",,,,,,,,,
2337000,NE-19-57-24-4,"Z3690, Z4300",79.06,Acres,Sturgeon County,URBAN FRINGE,,0.00,Acres,2014,"12,800",,West Canada Street,Sturgeon,Missouri,Boone County,United States,65284,39.2301825,-92.2847343
2337001,NE-19-57-24-4,24513 SH 651,9.18,Acres,Sturgeon County,URBAN FRINGE,0010157576,3.00,Acres,2014,"409,280",651,Wisconsin 57,Sturgeon Bay,Wisconsin,Door County,United States,54235,44.8302302,-87.3478135
2338000,SE-20-57-24-4,,160.00,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"29,520",,,,,,,,,
2339000,SW-20-57-24-4,,160.00,Acres,Sturgeon County,URBAN FRINGE,,0.00,Acres,2014,"28,570",,,,,,,,,
2340000,NW-20-57-24-4,24423 SH 651,157.91,Acres,Sturgeon County,URBAN FRINGE,0012643805,3.00,Acres,2014,"212,110",651,Wisconsin 57,Sturgeon Bay,Wisconsin,Door County,United States,54235,44.8302302,-87.3478135
2341000,NE-20-57-24-4,,80.00,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"16,400",,,,,,,,,
2341001,NE-20-57-24-4,24405 SH 651,77.96,Acres,Sturgeon County,AGRICULTURE,0020968129,3.00,Acres,2014,"271,110",651,Wisconsin 57,Sturgeon Bay,Wisconsin,Door County,United States,54235,44.8302302,-87.3478135
2342000,SE-21-57-24-4,,79.50,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"14,820",,,,,,,,,
2342001,SE-21-57-24-4,57316 SH 803,79.50,Acres,Sturgeon County,AGRICULTURE,0022453302,0.00,Acres,2014,"16,610",803,Wisconsin 57,Sturgeon Bay,Wisconsin,Door County,United States,54235,44.8298242,-87.34784499999999
2343000,SW-21-57-24-4,,160.00,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"32,160",,,,,,,,,
2344000,NW-21-57-24-4,,80.00,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"17,330",,,,,,,,,
2345000,NW-21-57-24-4,24325 SH 651,74.94,Acres,Sturgeon County,AGRICULTURE,0032367344,3.00,Acres,2014,"274,370",651,Wisconsin 57,Sturgeon Bay,Wisconsin,Door County,United States,54235,44.8302302,-87.3478135
2346000,NE-21-57-24-4,,157.01,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"33,620",,,,,,,,,
2347000,SE-22-57-24-4,57304 RGE RD 242,160.00,Acres,Sturgeon County,AGRICULTURE,0017373762,3.00,Acres,2014,"448,940",,Range Road 242,,Alberta,Division No. 11,Canada,,53.876389,-113.4713611
2348000,SW-22-57-24-4,57313 SH 803,159.00,Acres,Sturgeon County,AGRICULTURE,0022530878,3.00,Acres,2014,"225,650",803,Wisconsin 57,Sturgeon Bay,Wisconsin,Door County,United States,54235,44.8298242,-87.34784499999999
2349000,NW-22-57-24-4,57329 SH 803,157.02,Acres,Sturgeon County,AGRICULTURE,0022582953,3.00,Acres,2014,"540,220",803,Wisconsin 57,Sturgeon Bay,Wisconsin,Door County,United States,54235,44.8298242,-87.34784499999999
2350000,NE-22-57-24-4,57328 RGE RD 242,78.00,Acres,Sturgeon County,AGRICULTURE,0012151478,3.00,Acres,2014,"264,370",,Range Road 242,,Alberta,Division No. 11,Canada,,53.876389,-113.4713611
2350001,NE-22-57-24-4,,80.00,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"15,470",,,,,,,,,
2351000,SE-23-57-24-4,,118.60,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"16,870",,,,,,,,,
2352000,SW-23-57-24-4,57301 RGE RD 242,80.00,Acres,Sturgeon County,AGRICULTURE,0010029072,0.00,Acres,2014,"16,830",,Range Road 242,,Alberta,Division No. 11,Canada,,53.876389,-113.4713611
2352001,SW-23-57-24-4,,80.00,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"12,960",,,,,,,,,
2353000,NW-23-57-24-4,24121 SH 651,109.94,Acres,Sturgeon County,AGRICULTURE,0013863683,3.00,Acres,2014,"151,990",651,Wisconsin 57,Sturgeon Bay,Wisconsin,Door County,United States,54235,44.8302302,-87.3478135
2353001,8020112 A NW-23-57-24-4,57331 RGE RD 242,4.73,Acres,Sturgeon County,AGRICULTURE,0012422713,4.73,Acres,2014,"441,100",,Range Road 242,,Alberta,Division No. 11,Canada,,53.876389,-113.4713611
2355000,NE-23-57-24-4,57318 RGE RD 241,153.74,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"26,960",,Range Road 241,,Alberta,Division No. 11,Canada,,53.81813,-113.446457
2355001,NE-23-57-24-4,,0.55,Acres,Sturgeon County,AGRICULTURE,,0.55,Acres,2014,"1,820",,,,,,,,,
2356000,SE-24-57-24-4,57310 RGE RD 240,160.00,Acres,Sturgeon County,AGRICULTURE,0013518841,3.00,Acres,2014,"1,092,320",,Range Road 240,,Alberta,Division No. 11,Canada,,53.77458050000001,-113.4212854
2357000,SW-24-57-24-4,,110.00,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"21,610",,,,,,,,,
2357001,SW-24-57-24-4,,11.00,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,300,,,,,,,,,
2359000,NW-24-57-24-4,57325 RGE RD 241,158.00,Acres,Sturgeon County,AGRICULTURE,0018003244,3.00,Acres,2014,"339,510",,Range Road 241,,Alberta,Division No. 11,Canada,,53.81813,-113.446457
2360000,NE-24-57-24-4,,158.00,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"23,870",,,,,,,,,
2361000,SE-25-57-24-4,,158.00,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"26,930",,,,,,,,,
2362000,SW-25-57-24-4,,153.76,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"39,160",,,,,,,,,
2362001,SW-25-57-24-4,,4.14,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"1,080",,,,,,,,,
2363000,NW-25-57-24-4,,160.00,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"43,590",,,,,,,,,
2364000,NE-25-57-24-4,57418 RGE RD 240,160.00,Acres,Sturgeon County,AGRICULTURE,0023177257,3.00,Acres,2014,"213,080",,Range Road 240,,Alberta,Division No. 11,Canada,,53.77458050000001,-113.4212854
2365000,SE-26-57-24-4,24116 SH 651,158.00,Acres,Sturgeon County,AGRICULTURE,0016479982,3.00,Acres,2014,"299,870",651,Wisconsin 57,Sturgeon Bay,Wisconsin,Door County,United States,54235,44.8302302,-87.3478135
2366000,SW-26-57-24-4,,150.99,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"23,660",,,,,,,,,
2366001,7520321 A SW-26-57-24-4,57403 RGE RD 242,6.80,Acres,Sturgeon County,AGRICULTURE,0015172357,3.00,Acres,2014,"181,170",,Range Road 242,,Alberta,Division No. 11,Canada,,53.876389,-113.4713611
2367000,0928450 1 1,,77.52,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"10,250",,,,,,,,,
2368000,NE-26-57-24-4,57420 RGE RD 241,160.00,Acres,Sturgeon County,AGRICULTURE,0010333540,3.00,Acres,2014,"366,480",,Range Road 241,,Alberta,Division No. 11,Canada,,53.81813,-113.446457
2369000,SE-27-57-24-4,57432 RGE RD 242,156.76,Acres,Sturgeon County,AGRICULTURE,0017152224,3.00,Acres,2014,"619,490",,Range Road 242,,Alberta,Division No. 11,Canada,,53.876389,-113.4713611
2370000,SW-27-57-24-4,,148.47,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"26,910",,,,,,,,,
2370001,8923030 1,24232 SH 651,8.23,Acres,Sturgeon County,AGRICULTURE,0011919784,3.00,Acres,2014,"140,460",651,Wisconsin 57,Sturgeon Bay,Wisconsin,Door County,United States,54235,44.8302302,-87.3478135
2371000,NW-27-57-24-4,,140.22,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"24,530",,,,,,,,,
2372000,NE-27-57-24-4,57422 RGE RD 242,100.00,Acres,Sturgeon County,AGRICULTURE,0018651810,0.00,Acres,2014,"14,440",,Range Road 242,,Alberta,Division No. 11,Canada,,53.876389,-113.4713611
2373000,NE-27-57-24-4,57432 RGE RD 242,60.00,Acres,Sturgeon County,AGRICULTURE,0018651802,3.00,Acres,2014,"522,150",,Range Road 242,,Alberta,Division No. 11,Canada,,53.876389,-113.4713611
2374000,SE-28-57-24-4,,77.19,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"14,110",,,,,,,,,
2375000,SE-28-57-24-4,,76.93,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"13,070",,,,,,,,,
2376000,SW-28-57-24-4,,157.96,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"30,950",,,,,,,,,
2377000,NW-28-57-24-4,,154.86,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"30,350",,,,,,,,,
2378000,NE-28-57-24-4,,81.64,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"16,380",,,,,,,,,
2378001,8822669 1 NE-28-57-24-4,57420 RGE RD 243,5.44,Acres,Sturgeon County,AGRICULTURE,0010147255,3.00,Acres,2014,"410,850",,Range Road 243,Legal,Alberta,Division No. 11,Canada,T0G 1L0,53.978175,-113.496254
2379000,SE-29-57-24-4,24416 SH 651,157.96,Acres,Sturgeon County,AGRICULTURE,0016029084,3.00,Acres,2014,"592,180",651,Wisconsin 57,Sturgeon Bay,Wisconsin,Door County,United States,54235,44.8302302,-87.3478135
2380000,SW-29-57-24-4,24422 SH 651,155.47,Acres,Sturgeon County,URBAN FRINGE,0014575585,3.00,Acres,2014,"533,930",651,Wisconsin 57,Sturgeon Bay,Wisconsin,Door County,United States,54235,44.8302302,-87.3478135
2381000,SW-29-57-24-4,24418 SH 651,2.53,Acres,Sturgeon County,AGRICULTURE,0017208836,2.53,Acres,2014,"369,510",651,Wisconsin 57,Sturgeon Bay,Wisconsin,Door County,United States,54235,44.8302302,-87.3478135
2382000,NW-29-57-24-4,,80.00,Acres,Sturgeon County,URBAN FRINGE,,0.00,Acres,2014,"10,350",,,,,,,,,
2382001,NW-29-57-24-4,,80.00,Acres,Sturgeon County,URBAN FRINGE,,0.00,Acres,2014,"19,700",,,,,,,,,
2383000,NE-29-57-24-4,,160.00,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"35,300",,,,,,,,,
2384000,9623271 2,,149.47,Acres,Sturgeon County,URBAN FRINGE,,0.00,Acres,2014,"25,550",,,,,,,,,
2384001,9623271 1 SE-30-57-24-4,57406 RGE RD 245,8.08,Acres,Sturgeon County,URBAN FRINGE,0026815557,3.00,Acres,2014,"118,450",57406,Range Road 245,Legal,Alberta,Division No. 11,Canada,T0G 1L0,53.77911599999999,-113.5458967
2385000,SW-30-57-24-4,24532 SH 651,157.94,Acres,Sturgeon County,URBAN FRINGE,0023208929,3.00,Acres,2014,"248,230",651,Wisconsin 57,Sturgeon Bay,Wisconsin,Door County,United States,54235,44.8302302,-87.3478135
2386000,NW-30-57-24-4,,160.00,Acres,Sturgeon County,URBAN FRINGE,,3.00,Acres,2014,"209,290",,,,,,,,,
2387000,NE-30-57-24-4,,77.41,Acres,Sturgeon County,URBAN FRINGE,,0.00,Acres,2014,"16,850",,,,,,,,,
2387001,NE-30-57-24-4,57420 RGE RD 245,80.00,Acres,Sturgeon County,URBAN FRINGE,0026284612,3.00,Acres,2014,"274,530",57420,Range Road 245,Legal,Alberta,Division No. 11,Canada,T0G 1L0,53.77911599999999,-113.5458967
2388000,SE-31-57-24-4,,160.00,Acres,Sturgeon County,URBAN FRINGE,,0.00,Acres,2014,"39,740",,,,,,,,,
2389000,SW-31-57-24-4,57501 RGE RD 250,160.00,Acres,Sturgeon County,URBAN FRINGE,0018003153,0.00,Acres,2014,"34,640",57501,Range Road 250,Legal,Alberta,Division No. 11,Canada,T0G 1L0,53.8114843,-113.5705821
2390000,NW-31-57-24-4,,160.00,Acres,Sturgeon County,URBAN FRINGE,,0.00,Acres,2014,"34,470",,,,,,,,,
2391000,NE-31-57-24-4,24511 TWP RD 580,160.00,Acres,Sturgeon County,URBAN FRINGE,0015937220,3.00,Acres,2014,"211,080",24511,Township Road 580,Busby,Alberta,Division No. 13,Canada,T0G 0H0,53.9781122,-113.9136694
2392000,SE-32-57-24-4,,156.69,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"38,270",,,,,,,,,
2392001,SE-32-57-24-4,57504 RGE RD 244,3.31,Acres,Sturgeon County,AGRICULTURE,0012025153,3.00,Acres,2014,"445,000",,Range Road 244,,Alberta,Division No. 11,Canada,T8T 0N4,53.861864,-113.520905
2393000,SW-32-57-24-4,,160.00,Acres,Sturgeon County,URBAN FRINGE,,0.00,Acres,2014,"38,950",,,,,,,,,
2394000,NW-32-57-24-4,,153.11,Acres,Sturgeon County,URBAN FRINGE,,0.00,Acres,2014,"29,330",,,,,,,,,
2394001,9322074 1 NE-32-57-24-4,57527 RGE RD 245,6.89,Acres,Sturgeon County,URBAN FRINGE,0025382714,3.00,Acres,2014,"234,050",57527,Range Road 245,Legal,Alberta,Division No. 11,Canada,T0G 1L0,53.77911599999999,-113.5458967
2395000,NE-32-57-24-4,57518 RGE RD 244,160.00,Acres,Sturgeon County,AGRICULTURE,0023208945,3.00,Acres,2014,"647,120",,Range Road 244,,Alberta,Division No. 11,Canada,T8T 0N4,53.861864,-113.520905
2396000,SE-33-57-24-4,57512 RGE RD 243,156.54,Acres,Sturgeon County,AGRICULTURE,0018563503,3.00,Acres,2014,"467,120",,Range Road 243,Legal,Alberta,Division No. 11,Canada,T0G 1L0,53.978175,-113.496254
2396001,SE-33-57-24-4,57516B RGE RD 243,2.47,Acres,Sturgeon County,AGRICULTURE,0018563495,2.47,Acres,2014,"471,990",,Range Road 243,Legal,Alberta,Division No. 11,Canada,T0G 1L0,53.978175,-113.496254
2397000,0023689 1 SW-33-57-24-4,57507 RGE RD 244,2.10,Acres,Sturgeon County,AGRICULTURE,0028545608,2.10,Acres,2014,"381,100",,Range Road 244,,Alberta,Division No. 11,Canada,T8T 0N4,53.861864,-113.520905
2397001,SW-33-57-24-4,,77.91,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"17,750",,,,,,,,,
2398000,SW-33-57-24-4,57515 RGE RD 244,80.00,Acres,Sturgeon County,AGRICULTURE,0017373804,3.00,Acres,2014,"698,320",,Range Road 244,,Alberta,Division No. 11,Canada,T8T 0N4,53.861864,-113.520905
2399000,NW-33-57-24-4,,160.00,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"25,040",,,,,,,,,
2400000,NE-33-57-24-4,,159.01,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"37,200",,,,,,,,,
2401000,SE-34-57-24-4,,155.77,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"28,390",,,,,,,,,
2401001,9420814 1 SE-34-57-24-4,57504 RGE RD 242,4.23,Acres,Sturgeon County,AGRICULTURE,0025967092,4.23,Acres,2014,"626,390",,Range Road 242,,Alberta,Division No. 11,Canada,,53.876389,-113.4713611
2402000,SW-34-57-24-4,57501 RGE RD 243,159.01,Acres,Sturgeon County,AGRICULTURE,0010289643,3.00,Acres,2014,"649,830",,Range Road 243,Legal,Alberta,Division No. 11,Canada,T0G 1L0,53.978175,-113.496254
2403000,NW-34-57-24-4,57527 RGE RD 243,159.01,Acres,Sturgeon County,AGRICULTURE,,3.00,Acres,2014,"336,510",,Range Road 243,Legal,Alberta,Division No. 11,Canada,T0G 1L0,53.978175,-113.496254
2404000,NE-34-57-24-4,,160.00,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"25,030",,,,,,,,,
2405000,SE-35-57-24-4,,160.00,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"37,460",,,,,,,,,
2406000,1325279 1 1 SW-35-57-24-4,57505 RGE RD 242,79.94,Acres,Sturgeon County,AGRICULTURE,0035964212,3.00,Acres,2014,"522,920",,Range Road 242,,Alberta,Division No. 11,Canada,,53.876389,-113.4713611
2407000,NW-35-57-24-4,,160.00,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"20,390",,,,,,,,,
2408000,0024179 1 NE-35-57-24-4,57532 RGE RD 241,8.08,Acres,Sturgeon County,AGRICULTURE,0028599265,3.00,Acres,2014,"174,100",,Range Road 241,,Alberta,Division No. 11,Canada,,53.81813,-113.446457
2408001,NE-35-57-24-4,,151.92,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"23,090",,,,,,,,,
2409000,SE-36-57-24-4,57514 RGE RD 240,160.00,Acres,Sturgeon County,AGRICULTURE,0012179917,3.00,Acres,2014,"427,900",,Range Road 240,,Alberta,Division No. 11,Canada,,53.77458050000001,-113.4212854
2410000,SW-36-57-24-4,,160.00,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"30,690",,,,,,,,,
2411000,0824769 1 1 NW-36-57-24-4,24021 TWP RD 580,8.18,Acres,Sturgeon County,AGRICULTURE,0033268806,3.00,Acres,2014,"225,820",24021,Township Road 580,Busby,Alberta,Division No. 13,Canada,T0G 0H0,53.9781122,-113.9136694
2412000,NE-36-57-24-4,,77.94,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"8,100",,,,,,,,,
2413000,SE-1-58-24-4,,140.01,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"6,980",,,,,,,,,
2413001,952-3815 1 SE-1-58-24-4,58002 RGE RD 240,19.99,Acres,Sturgeon County,AGRICULTURE,0026489682,3.00,Acres,2014,"282,530",,Range Road 240,,Alberta,Division No. 11,Canada,,53.77458050000001,-113.4212854
2414000,SW-1-58-24-4,24028 TWP RD 580,160.00,Acres,Sturgeon County,AGRICULTURE,0018003450,3.00,Acres,2014,"237,880",24028,Township Road 580,Busby,Alberta,Division No. 13,Canada,T0G 0H0,53.9781122,-113.9136694
2415000,NW-1-58-24-4,,160.00,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"18,980",,,,,,,,,
2416000,NE-1-58-24-4,58018 RGE RD 240,160.00,Acres,Sturgeon County,AGRICULTURE,0018003475,3.00,Acres,2014,"151,930",,Range Road 240,,Alberta,Division No. 11,Canada,,53.77458050000001,-113.4212854
2417000,SE-2-58-24-4,58014 RGE RD 241,155.48,Acres,Sturgeon County,AGRICULTURE,0035766393,0.00,Acres,2014,"21,250",,Range Road 241,,Alberta,Division No. 11,Canada,,53.81813,-113.446457
2418000,0923875 2 3 SW-2-58-24-4,58005 RGE RD 242,16.78,Acres,Sturgeon County,AGRICULTURE,0033860594,3.00,Acres,2014,"279,290",,Range Road 242,,Alberta,Division No. 11,Canada,,53.876389,-113.4713611
2419000,NW-2-58-24-4,58021 RGE RD 242,160.00,Acres,Sturgeon County,AGRICULTURE,0023257950,3.00,Acres,2014,"222,430",,Range Road 242,,Alberta,Division No. 11,Canada,,53.876389,-113.4713611
2420000,NE-2-58-24-4,,80.00,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"10,270",,,,,,,,,
2420001,NE-2-58-24-4,,80.00,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"11,480",,,,,,,,,
2421000,SE-3-58-24-4,58012 RGE RD 242,160.00,Acres,Sturgeon County,AGRICULTURE,,3.00,Acres,2014,"270,570",,Range Road 242,,Alberta,Division No. 11,Canada,,53.876389,-113.4713611
2422000,SW-3-58-24-4,,159.00,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"31,430",,,,,,,,,
2423000,NW-3-58-24-4,,159.00,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"26,150",,,,,,,,,
2424000,NE-3-58-24-4,58020 RGE RD 242,160.00,Acres,Sturgeon County,AGRICULTURE,0023177710,3.00,Acres,2014,"406,800",,Range Road 242,,Alberta,Division No. 11,Canada,,53.876389,-113.4713611
2425000,SE-4-58-24-4,,37.78,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"1,650",,,,,,,,,
2425001,SE-4-58-24-4,,41.40,Acres,Sturgeon County,AGRICULTURE,,3.00,Acres,2014,"299,060",,,,,,,,,
2426000,SW-4-58-24-4,,160.00,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"27,380",,,,,,,,,
2427000,NW-4-58-24-4,,160.00,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"25,950",,,,,,,,,
2428000,NE-4-58-24-4,,156.53,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"31,250",,,,,,,,,
2429000,SE-5-58-24-4,24404 TWP RD 580,160.00,Acres,Sturgeon County,AGRICULTURE,0012226890,3.00,Acres,2014,"518,870",24404,Township Road 580,Busby,Alberta,Division No. 13,Canada,T0G 0H0,53.9781122,-113.9136694
2430000,SW-5-58-24-4,24424 TWP RD 580,160.00,Acres,Sturgeon County,URBAN FRINGE,0012226882,3.00,Acres,2014,"411,470",24424,Township Road 580,Busby,Alberta,Division No. 13,Canada,T0G 0H0,53.9781122,-113.9136694
2431000,NW-5-58-24-4,58021 RGE RD 245,160.00,Acres,Sturgeon County,AGRICULTURE,0018003467,3.00,Acres,2014,"181,830",58021,Range Road 245,Legal,Alberta,Division No. 11,Canada,T0G 1L0,53.77911599999999,-113.5458967
2432000,NE-5-58-24-4,,160.00,Acres,Sturgeon County,AGRICULTURE,,0.00,Acres,2014,"34,980",,,,,,,,,
