roll,legal,address,land_area,land_area_unit,subdivision,zoning,linc_number,market_land_site_area,market_land_site_area_unit,year_of_assessment,assessment_value,street_number,route,locality,administrative_area_level_1,administrative_area_level_2,country,postal_code,latitude,longitude
1551004,7621460 1 5 SW-17-58-23-4,29 RICHFIELD ROAD,3.84,Acres,Sturgeon County,COUNTRY RESIDENTIAL-ONE,,3.84,Acres,2014,"228,410",29,Richfield Road,Legal,Alberta,Division No. 11,Canada,T0G 1L0,54.01284039999999,-113.3923554
1551005,7621460 1 6 SW-17-58-23-4,27 RICHFIELD ROAD,4.47,Acres,Sturgeon County,COUNTRY RESIDENTIAL-ONE,,4.47,Acres,2014,"298,720",27,Richfield Road,Legal,Alberta,Division No. 11,Canada,T0G 1L0,54.0128324,-113.3913817
1551006,7621460 1 7 SW-17-58-23-4,25 RICHFIELD ROAD,5.16,Acres,Sturgeon County,COUNTRY RESIDENTIAL-ONE,,5.16,Acres,2014,"515,600",25,Richfield Road,Legal,Alberta,Division No. 11,Canada,T0G 1L0,54.0128243,-113.390408
1551007,7621460 1 8 SW-17-58-23-4,23 RICHFIELD ROAD,3.26,Acres,Sturgeon County,COUNTRY RESIDENTIAL-ONE,,3.26,Acres,2014,"267,250",23,Richfield Road,Legal,Alberta,Division No. 11,Canada,T0G 1L0,54.0128163,-113.3894343
1551008,7621460 1 9 SW-17-58-23-4,21 RICHFIELD ROAD,3.26,Acres,Sturgeon County,COUNTRY RESIDENTIAL-ONE,,3.26,Acres,2014,"269,220",21,Richfield Road,Legal,Alberta,Division No. 11,Canada,T0G 1L0,54.01280819999999,-113.3884606
1551009,7621460 1 10-R,,1.29,Acres,Sturgeon County,COUNTRY RESIDENTIAL-ONE,,1.29,Acres,2014,"44,680",,,,,,,,,
1551010,7621460 2 1 SW-17-58-23-4,50 RICHFIELD ROAD,3.07,Acres,Sturgeon County,COUNTRY RESIDENTIAL-ONE,,3.07,Acres,2014,"186,680",50,Richfield Road,Legal,Alberta,Division No. 11,Canada,T0G 1L0,54.00767,-113.3937217
1551011,7621460 2 2 SW-17-58-23-4,48 RICHFIELD ROAD,3.07,Acres,Sturgeon County,COUNTRY RESIDENTIAL-ONE,,3.07,Acres,2014,"268,550",48,Richfield Road,Legal,Alberta,Division No. 11,Canada,T0G 1L0,54.0092722,-113.3937214
1551012,7621460 2 3 SW-17-58-23-4,46 RICHFIELD ROAD,3.07,Acres,Sturgeon County,COUNTRY RESIDENTIAL-ONE,,3.07,Acres,2014,"157,870",46,Richfield Road,Legal,Alberta,Division No. 11,Canada,T0G 1L0,54.0108744,-113.3937211
1551013,7621460 2 4 SW-17-58-23-4,44 RICHFIELD ROAD,3.07,Acres,Sturgeon County,COUNTRY RESIDENTIAL-ONE,,3.07,Acres,2014,"87,760",44,Richfield Road,Legal,Alberta,Division No. 11,Canada,T0G 1L0,54.0124728,-113.3936477
1551014,7621460 2 5 SW-17-58-23-4,42 RICHFIELD ROAD,3.07,Acres,Sturgeon County,COUNTRY RESIDENTIAL-ONE,,3.07,Acres,2014,"207,670",42,Richfield Road,Legal,Alberta,Division No. 11,Canada,T0G 1L0,54.0128528,-113.3911864
1551015,7621460 2 6 SW-17-58-23-4,40 RICHFIELD ROAD,3.07,Acres,Sturgeon County,COUNTRY RESIDENTIAL-ONE,,3.07,Acres,2014,"87,760",40,Richfield Road,Legal,Alberta,Division No. 11,Canada,T0G 1L0,54.0128303,-113.3884601
1551016,7621460 2 R-7,,16.09,Acres,Sturgeon County,COUNTRY RESIDENTIAL-ONE,,16.09,Acres,2014,"120,840",,,,,,,,,
1551017,7621460 2 8 SW-17-58-23-4,12 GREENWOOD ROAD,3.07,Acres,Sturgeon County,COUNTRY RESIDENTIAL-ONE,,3.07,Acres,2014,"708,390",12,Greenwood Place,Saint Albert,Alberta,Division No. 11,Canada,T8N 2H5,53.627787,-113.623732
1551018,7621460 2 9 SW-17-58-23-4,10 GREENWOOD ROAD,3.07,Acres,Sturgeon County,COUNTRY RESIDENTIAL-ONE,,3.07,Acres,2014,"87,760",10,Greenwood Place,Saint Albert,Alberta,Division No. 11,Canada,T8N 2H5,53.6280739,-113.6234734
1551019,7621460 2 10 SW-17-58-23-4,8 GREENWOOD ROAD,3.07,Acres,Sturgeon County,COUNTRY RESIDENTIAL-ONE,,3.07,Acres,2014,"130,920",8,Greenwood Place,Saint Albert,Alberta,Division No. 11,Canada,T8N 2H5,53.62835699999999,-113.622847
1551020,7621460 2 11 SW-17-58-23-4,6 GREENWOOD ROAD,3.07,Acres,Sturgeon County,COUNTRY RESIDENTIAL-ONE,,3.07,Acres,2014,"87,760",6,Greenwood Place,Saint Albert,Alberta,Division No. 11,Canada,T8N 2H5,53.62862399999999,-113.623629
